time, Quad.IMU.AX
1.895033,0.118258
1.900033,-0.129122
1.905033,-1.160266
1.910033,0.429585
1.915033,0.112468
1.920034,-0.578806
1.925034,0.120345
1.930034,0.640857
1.935034,-0.047228
1.940035,0.226268
1.945035,-0.028464
1.950035,0.441586
1.955035,-0.068146
1.960036,-0.389452
1.965036,-0.570283
1.970036,0.557750
1.975036,-0.378138
1.980036,-0.194780
1.985037,0.423146
1.990037,-0.289808
1.995037,0.437650
2.000037,0.222710
2.005037,-0.382778
2.010037,0.384267
2.015036,0.230243
2.020036,0.238428
2.025036,0.230275
2.030035,-0.360398
2.035035,0.605559
2.040035,0.367798
2.045034,-0.492556
2.050034,0.048899
2.055033,0.803379
2.060033,-0.242904
2.065033,-0.372759
2.070032,-0.055611
2.075032,-0.317516
2.080032,-0.451742
2.085031,0.530554
2.090031,0.032821
2.095031,-0.619271
2.100030,0.246460
2.105030,-0.218523
2.110029,0.836477
2.115029,-0.770741
2.120029,-0.359462
2.125028,-0.073712
2.130028,0.672823
2.135028,-0.407995
2.140027,-1.959435
2.145027,0.239170
2.150027,-0.312448
2.155026,0.076655
2.160026,0.422642
2.165025,-0.380295
2.170025,-0.773567
2.175025,-0.510864
2.180024,0.102994
2.185024,0.385299
2.190024,-0.144625
2.195023,0.226898
2.200023,-0.615600
2.205023,0.002578
2.210022,0.645889
2.215022,1.193750
2.220021,-0.335174
2.225021,-0.639189
2.230021,0.343688
2.235020,-0.034070
2.240020,-0.028396
2.245020,-0.552162
2.250019,-0.684664
2.255019,-0.919903
2.260019,-1.312256
2.265018,-0.140162
2.270018,0.244841
2.275017,0.382689
2.280017,0.825734
2.285017,-0.153306
2.290016,0.142597
2.295016,-0.624535
2.300016,1.006834
2.305015,0.160990
2.310015,0.890172
2.315015,0.466660
2.320014,1.100404
2.325014,0.283374
2.330014,0.024724
2.335013,-0.056609
2.340013,-0.402351
2.345012,0.215750
2.350012,0.791102
2.355012,-0.334808
2.360011,0.343777
2.365011,-0.719918
2.370011,0.735203
2.375010,0.222299
2.380010,-0.059622
2.385010,-1.232931
2.390009,-0.369087
2.395009,0.022969
2.400008,0.108551
2.405008,-0.046411
